azure;aws;google
DZH318Z096SR/Standard_E64s_v5/39c020f9-4583-544b-9488-af34c670b3c1,FW8E5RQ44WYXEWXN,generated-n2-highcpu-8
DZH318Z0CSHB/Standard_E16-4ds_v4/b79c3e44-d17d-58a9-b1eb-da09ed48af83,ZGR6DNXRR5737GXS,generated-n2d-highcpu-32
CRC8UP36GSCYTHBZ,DZH318Z0BJRN/008Q/484b0f43-74f0-4ca3-bb6c-75f5a723f1ed,02DA-7F03-3624
DZH318Z0CM2D/Standard_E20as_v4/00055bd0-12e3-51f0-aba3-e4da5d5948ca,7ZDKQBZUNSGXYM7X,3594-142D-9D31
DZH318Z0BJRN/0013/9806198f-b65b-4e0a-bb4c-45a8cd44083d,NVGUZKU65QDCNQDA,34B4-8AD8-B01C
DZH318Z0BQJ7/000C/ace03b73-4864-4a8c-afcb-55ddf91e010e,8KSXXKS5VFZMUZ6P,F99B-D454-860B
DZH318Z0BPXH/003D/5faa90e4-31f6-4277-9bdf-d3ae5f0e7ede,5KE8TCG3FP4Y4ZVZ,F9C8-328A-51F3
DZH318Z0BQ4W/Standard_M8ms/d9a1dc3d-ffb1-5218-9712-26f30be1c3e0,WM7UWJD9ZDE79FHU,generated-n2d-highmem-48
DZH318Z0BQ4C/Standard_DS15_v2/3baf2018-c5e6-5f85-b694-40caacfd06a3,NA5P92APVFZVG887,generated-e2-standard-16
DZH318Z0CM2B/Standard_D64a_v4/965124bf-7dc6-5c8f-848e-3a8e646506d8,CFDACKHH8R99KBAT,generated-e2-standard-4
DZH318Z0BQ4R/Standard_E8s_v3/fc9dcca7-0238-483e-b166-4f7ec667f5ff,ASS4GCEV7SWUH73K,generated-n2d-standard-2
DZH318Z08M9F/Standard_D32d_v5/8472ebb8-d3a6-584a-93a3-5d195e1a2f26,9X8BNKH4WQSHKGJX,generated-n1-highcpu-64
DZH318Z0CM92/Standard_E64-32as_v4/9e3f8633-0cdb-5c11-9822-f77019004778,4ZW3P93ZCPUY2SUY,generated-n2-standard-4
DZH318Z08NRD/Standard_DC48ds_v3/806067fd-76f9-5518-a159-91e9417d4a37,AWE5DHP7NFE2ATDA,generated-n2-highmem-64
DZH318Z0CSHM/Standard_D48ds_v4/6e8b5f5e-05a3-59cf-8199-605c12fd4bea,2AN5X4YG5DUANVG3,generated-c3-standard-44-lssd
DZH318Z0D1L5/Standard_E32d_v4/e9eddae2-d187-5461-9c14-b56c058ca485,TNFUV4W4XR5AWADJ,generated-n1-highcpu-16
DZH318Z0D1L5/Standard_E16d_v4/49667baa-774f-540b-bf7d-4326c0d00bcb,7BVSR8SRTUG6BR2E,generated-c2-standard-8
DZH318Z08MC5/Standard_D4ds_v5/e86c52c7-c1c0-57b0-85d2-2867d418048c,NT5FWN2BBMHFQSTE,generated-t2d-standard-8
DZH318Z0BPSQ/Standard_DS12_v2_Promo/3e6b5981-3940-5f0d-ae89-9f674e523789,YKJ7QMTD3S8TRDFV,generated-e2-standard-16
DZH318Z093WX/Standard_E16-8ads_v5/787dcb18-6b37-56d6-a423-66df0995bd5c,N6EWMSZM6ZT5AB8X,generated-n1-highmem-96
DZH318Z0BQ4L/Standard_E64_v3/4bc3baa3-b488-5e83-a020-3feeb6073648,RZHKBXT527U5AYS8,generated-e2-highmem-16
DZH318Z08MC6/Standard_D4ds_v5/7d179925-5066-52ce-b0a9-63e92fff9a83,HUQ7ARB4WV3YMQQE,generated-n1-megamem-96
DZH318Z0BNZJ/0006/d100befb-3816-47b2-9685-748deaa8cf9b,275C5PEQCXGSDTGF,2283-CB97-6DE0
DZH318Z0BNZ5/00KZ/583d3c06-1a27-5499-b3da-fb8328c1cb3b,9EBWCMUUFKJ2MR6M,4FCE-BDBC-3AD1
DZH318Z0CPS8/003M/0238009a-123c-5750-b13c-4b07732bcd63,U56HSC8R5F7GTHKN,9529-5FD8-6533
DZH318Z0BP05/00JS/4dbd2909-2b7a-5788-bef9-e9d45e6cb0aa,BA6PSX6VRU69E67N,A711-E8EB-95E8
DZH318Z0BP6Q/004V/8c211d16-4c1b-506e-8785-cf8c4203bce7,GNAGVF6CRG6TJU38,D3E7-D583-8ADB
DZH318Z0BP0B/001P/c299f2a3-596e-4d5b-b05c-d23b635c0f5d,SHZPVCYCE8T2DP4X,007A-40B7-63BC
DZH318Z0C120/0067/c2bcd1e8-72b5-4bc8-9cad-54cd73786605,GP37JKNWRFB64C9R,0C48-A44E-294C
DZH318Z0BNWT/0026/cd6c9bd2-604f-48d4-b187-7e5e6758567c,S2PFE7RMY2VJ9HHZ,9529-5FD8-6533
DZH318Z0C120/0018/2318db26-6d9e-4bd9-9db6-8058c9e3ce96,RYEZTUFA2GH2MPGE,981E-C44C-77C7
DZH318Z0BP88/00V8/dc43b6d8-b313-5bb7-b663-e825c87d22f3,S9BP74BVGQEB8Q5N,CDD7-F171-4A80
DZH318Z0BP88/014V/f0b414e1-f915-5208-80e4-146f2f498c7b,FZQJRN6BT6V6VVY4,D973-5D65-BAB2
DZH318Z0C120/00BP/4fbcf604-70f9-4363-8c7a-79ff4f36fe75,7EV38VVAXBP8GTNQ,DCA4-F1BE-57C4
DZH318Z0BNWT/006Q/f712754a-ea0d-4d29-98d6-c6b63a418245,DTFUVA4VWBP8ZQ6D,FC5A-0778-37DC
DZH318Z0C120/00D9/d56c18df-aac7-412d-8af8-32bf01527ba0,MDDK4BTVFFXS6P84,9490-32DB-E101
DZH318Z0BJRM/0164/92785843-0ec3-464f-b7fa-8e4fd9d79b9a,VQTRTSJN8XBZGJVR,95F6-C300-AD0A
DZH318Z0BP05/00HW/11d757e5-469c-5a41-bb60-5bd360446396,93XSX4N42UT2TD3M,558B-E097-BB73
DZH318Z0BNWT/006G/329c176e-8b09-402d-990b-5c62c7ad12e7,PTC4QTGHGBRWX5TY,637E-F5F6-8B5E
DZH318Z0BJRM/01PG/fce6ed87-8cc7-5449-99b7-fb8c2d6c2ef7,WZCW2T5BKNTTAJG9,731D-050F-6E31
DZH318Z0BXV9/002D/ce61577b-8744-4629-b21f-818d81c0a46c,EEP5MKDPEUF665W9,1B95-99C1-33C1
DZH318Z0CPS8/002L/470ae8ce-fa34-44b2-96ec-319dea853ee3,9JDFFN55MR2WQDBD,DEDD-2CFE-6A75
DZH318Z0BNZF/002X/ae106a5c-ed63-4017-a064-6b5b1cf818ad,QTU7GXN5RSV4E2NK,731D-050F-6E31